type,dataset_name,best_params,duration,mse_score,rmse_score,mae_score,smape_score,mape_score,r2_score
LSTM,house1.csv,"{'lstm_units': 100, 'dropout_rate': 0.2583475798559028, 'num_lstm_layers': 2, 'learning_rate': 0.0007500990216986049}",234.410461,25.57,5.06,1.32,16.94,18.46,0.1145
GRU,house1.csv,"{'gru_units': 72, 'dropout_rate': 0.21791508055391323, 'num_gru_layers': 1, 'learning_rate': 0.0006055646559613979}",115.230637,21.73,4.66,1.2,16.15,18.07,0.2476
BLSTM,house1.csv,"{'lstm_units': 70, 'dropout_rate': 0.20253179129116733, 'num_lstm_layers': 1, 'learning_rate': 0.00026749369487020683}",166.488034,21.82,4.67,1.35,20.24,22.74,0.2446
BGRU,house1.csv,"{'gru_units': 108, 'dropout_rate': 0.2167128840217568, 'num_gru_layers': 1, 'learning_rate': 0.00010250993109430671}",197.20222,20.8,4.56,1.21,16.91,19.14,0.2798
CNN,house1.csv,"{'filters': 36, 'kernel_size': 5, 'dropout_rate': 0.37076895340962734, 'num_conv_layers': 1, 'optimizer': 'rmsprop', 'l2_reg': 5.4032017308046354e-05}",22.781142,24.72,4.97,1.56,25.23,26.67,0.1442
TCN,house1.csv,"{'filters': 124, 'kernel_size': 2, 'dropout_rate': 0.20235685136132286, 'num_tcn_blocks': 2, 'dilation_base': 3, 'l2_reg': 2.6568715584481847e-05, 'optimizer': 'rmsprop'}",49.764112,23.34,4.83,1.71,27.84,32.0,0.1919
DCNN,house1.csv,"{'filters': 93, 'kernel_size': 4, 'dilation_rate': 4, 'dropout_rate': 0.26229273309530543, 'num_conv_layers': 2, 'optimizer': 'adam', 'l2_reg': 0.0007766966784886544}",38.29718,24.17,4.92,1.62,24.99,28.36,0.1631
WaveNet,house1.csv,"{'filters': 100, 'kernel_size': 3, 'dilation_rate': 3, 'num_wavenet_blocks': 2, 'dropout_rate': 0.1908641133829007, 'l2_reg': 1.0593324287411914e-05, 'optimizer': 'adam'}",44.444008,22.44,4.74,1.63,25.52,30.41,0.2231
TFT,house1.csv,"{'hidden_units': 131, 'dropout_rate': 0.3560147915032513, 'num_lstm_layers': 3, 'num_heads': 6, 'num_attention_blocks': 1, 'l2_reg': 1.8333432174645797e-05, 'learning_rate': 0.00018963551934078106, 'optimizer': 'adam'}",929.908776,27.07,5.2,1.47,21.47,22.49,0.0626
TST,house1.csv,"{'d_model': 119, 'num_heads': 8, 'num_transformer_layers': 2, 'ff_dim': 414, 'dropout_rate': 0.2654153514774363, 'learning_rate': 0.0005342712579031119, 'optimizer': 'adam'}",1020.413638,24.34,4.93,1.74,28.12,32.8,0.157
LSTM,kagglehub_sumit261124,"{'lstm_units': 115, 'dropout_rate': 0.22241461889172265, 'num_lstm_layers': 2, 'learning_rate': 0.0007129718038391756}",244.035865,40.74,6.38,4.98,4.0,4.13,0.8841
GRU,kagglehub_sumit261124,"{'gru_units': 119, 'dropout_rate': 0.2140640178402782, 'num_gru_layers': 1, 'learning_rate': 0.0006646102893692324}",100.205051,26.51,5.15,4.18,3.29,3.36,0.9246
BLSTM,kagglehub_sumit261124,"{'lstm_units': 125, 'dropout_rate': 0.2857746595768414, 'num_lstm_layers': 1, 'learning_rate': 0.0002433903426167643}",143.911072,31.65,5.63,4.38,3.46,3.55,0.91
